mmsi,name,lat,lon,speed,heading,time,anomaly,anomaly_score
563196200,SINAR BAJO,1.2817316666666665,103.763605,0.0,121,2026-09-18 13:43:16.554138237 +0000 UTC,1,0.03771542189513899
5631101,PSAB,1.2735716666666663,103.80135333333332,0.0,511,2026-09-18 13:43:17.320866433 +0000 UTC,1,0.04856296647637881
477124200,SUN PROFIT,1.2744116666666665,103.91356833333332,0.1,242,2026-09-18 13:43:17.577039957 +0000 UTC,1,0.11526206085722385
371860000,MSC LORENA,1.2100666666666666,103.87047,5.4,240,2026-09-18 13:43:22.193375377 +0000 UTC,1,0.0863137452796287
565472000,CHWNTEK 5,1.2558716666666667,103.88594666666668,0.2,160,2026-09-18 13:43:22.611493061 +0000 UTC,1,0.13143417581566164
477212100,PROS ECHO,1.2782433333333332,103.91106833333332,0.0,236,2026-09-18 13:43:24.914905183 +0000 UTC,1,0.12899512305224037
566702000,HY TALENT,1.2613616666666667,103.87370666666668,0.3,13,2026-09-18 13:43:25.124490313 +0000 UTC,1,0.046685496596790776
563070820,MPA 2,1.2642133333333334,103.82756,0.1,511,2026-09-18 13:43:25.835549723 +0000 UTC,1,0.07682447395950825
256162000,,1.211495,103.78219833333333,0.0,122,2026-09-18 13:43:26.281197549 +0000 UTC,1,0.0764894976460972
417222405,CEYLON BREEZE,1.2091483333333335,103.87914,7.1,243,2026-09-18 13:43:26.319880612 +0000 UTC,1,0.08792124893582326
353641000,DAEWOO DIAMOND,1.16345,103.80901,13.3,60,2026-09-18 13:43:28.327947056 +0000 UTC,-1,-0.041027462651008206
563056100,PEARL MELODY,1.2358716666666667,103.78950166666668,2.8,351,2026-09-18 13:43:29.781500151 +0000 UTC,1,0.10737597244983133
538010993,AEOLIAN VICTORY,1.2761333333333331,103.97566666666668,0.0,285,2026-09-18 13:43:29.783441333 +0000 UTC,1,0.015138571569505599
525121064,JENGGALA BANGO,1.1752833333333332,103.75396666666668,0.0,107,2026-09-18 13:43:30.462557324 +0000 UTC,-1,-0.04444003733547497
563087310,PSA VELA (NN79),1.276335,103.77673333333334,0.7,311,2026-09-18 13:43:32.850316831 +0000 UTC,1,0.09335861834796505
538004172,DUBAI ATTRACTION,1.21302,103.86468,9.7,60,2026-09-18 13:43:34.301433026 +0000 UTC,1,0.05238637663915757
352004662,HAWKS MAJESTY,1.2471083333333333,103.80002666666664,0.1,320,2026-09-18 13:43:34.984411862 +0000 UTC,1,0.183691861524428
636016293,ELANDRA MELODY,1.1656733333333331,103.81494833333332,15.0,65,2026-09-18 13:43:38.568051702 +0000 UTC,-1,-0.051043935934528384
563317400,GOLDEN CENTAURUS,1.18818,103.819495,6.0,250,2026-09-18 13:43:41.423819343 +0000 UTC,1,0.07475487702244221
566982000,HY EMERALD,1.2457683333333334,103.78862333333332,6.4,48,2026-09-18 13:43:41.516163864 +0000 UTC,1,0.05291055809951195
563142000,PENGUIN REDEEM,1.2249516666666669,103.778975,0.0,333,2026-09-18 13:43:41.814135447 +0000 UTC,1,0.15481065740550398
353851000,BRIDGE,1.2252833333333333,103.89118333333332,11.2,250,2026-09-18 13:43:42.58651377 +0000 UTC,1,0.04864201020791714
563275600,MARINA AMMOLITE,1.2387933333333334,103.75229833333331,0.2,250,2026-09-18 13:43:43.262825726 +0000 UTC,1,0.08882185579019486
563315900,PACIFIC WISE,1.219493333333333,103.86637,7.8,37,2026-09-18 13:43:45.654688278 +0000 UTC,1,0.05647944869197119
563313500,ENA HAVEN,1.2317866666666668,103.82339833333334,0.0,319,2026-09-18 13:43:48.335672171 +0000 UTC,1,0.16715365386978626
319297100,SAIPH,1.2351383333333332,103.779425,9.3,130,2026-09-18 13:43:48.646862329 +0000 UTC,1,0.10740962956510047
563142000,PENGUIN REDEEM,1.2249533333333331,103.778975,0.1,333,2026-09-18 13:43:51.283917262 +0000 UTC,1,0.16248900024217544
566474000,STRAITS ORACLE,1.2396366666666667,103.79180833333334,0.2,7,2026-09-18 13:43:52.647976461 +0000 UTC,1,0.07500052715177785
574001750,AULAC DIAMOND,1.2139833333333334,103.80825,0.4,339,2026-09-18 13:43:56.697673144 +0000 UTC,1,0.11212621396985967
255915678,ESL DANA,1.222295,103.79054,8.6,140,2026-09-18 13:43:56.91649352 +0000 UTC,1,0.1035105860821195
563179400,DH DILIGENCY,1.2421816666666667,103.79136166666667,0.1,331,2026-09-18 13:43:57.171373852 +0000 UTC,1,0.17886294339641146
538011338,OSLO STAR,1.2560416666666667,103.90993166666668,0.0,216,2026-09-18 13:43:59.004137723 +0000 UTC,1,0.13544809924220103
457900892,LIONCREST,1.2369966666666667,103.79373666666667,0.1,511,2026-09-18 13:44:01.015567039 +0000 UTC,1,0.09214418900027699
